paper_id,doc_sha256,pdf_path,run_id,status,phase
row_001,278fdfe55f17c5d28b78f7ad083e7511e1a503905fc9f15e7086ea58ef13ec94,s12933-022-01676-5.pdf,default,ok,phase1
row_002,278fdfe55f17c5d28b78f7ad083e7511e1a503905fc9f15e7086ea58ef13ec94,s12933-022-01676-5.pdf,default,ok,phase1
row_003,d825a83bd288cf5f7c681b00d3f0bb22b8638220249bc111ea966c236f19e163,PIIS0959804922004105.pdf,default,ok,phase1
row_004,66f7b794d7b0864d7cf4de5e20ef00cdf53d0f54d0b586f8b85f4725481ca288,kohandel_gargari_2024_oi_241121_1727811818.96597.pdf,default,ok,phase1
row_005,f621af8c2702493ddd25cd46c45cbd39a6f0a2f4308702ceb68c582ef7dd85d3,fimmu-15-1396752.pdf,default,ok,phase1
row_006,fe9bef5e68bef18d40b89982ae0efb1f0d331ea144e7dd8c0b5fe83ce714bea8,PIIS1201971224001802.pdf,default,ok,phase1
row_007,9dc57737be4d9985f313e51d5e8625904029700db4655a05a1547c442e4d4340,1-s2.0-S0378874123013636-main.pdf,default,ok,phase1
row_008,6b1b33862d646f8aa93e55440581a73f2b7056de51af51ad48fe9888eeb1df4e,jnccn-article-e247092.pdf,default,ok,phase1
row_009,f5f96edde5c290bf6de5e1db7a2fdc419989ae72957186cc0bd01bcbfafb33d7,pei_2021_oi_210256_1619637748.9816.pdf,default,ok,phase1
row_010,c232d33db120a79d27727ba3b7c8cc4b358969ec9f15d2f06c06cd9022761241,afad091.pdf,default,ok,phase1
row_011,10d5579ec6d179ae3c4b6ebc6631f059148fc8f10edc8f5c8a27201012e8b269,1-s2.0-S0889159123001150-main.pdf,default,ok,phase1
row_012,9857d0fc3ff22122dbaf00fc251a39258c8c1b696d0fd87332b6dee9ff5a5ad2,ronellenfitsch_2024_oi_240797_1757089018.04994.pdf,default,ok,phase1
row_013,b7a5c0daf9a00d271ddfff14fabe9caa10536bcadf08ee34d27cfab4011f7bce,1-s2.0-S0163834324001427-main.pdf,default,ok,phase1
row_014,3fe68b2d85ebf07a278b3336724af244a2e81d2baee263dd04eebe56af61368b,fimmu-13-1103055.pdf,default,ok,phase1
row_015,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,NEJMoa2405888.pdf,default,ok,phase1
row_016,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,501.full.pdf,default,ok,phase1
row_017,ca304b988918a5feb579f321d49fbab5d2eb51e6941e7ad8811ae3322b4ac3fe,jamapediatrics_williams_2022_oi_210080_1646329686.28064.pdf,default,ok,phase1
